"","HT.29.cells.treatment.sample.3","HT.29.cells.treatment.sample.2","HT.29.cells.treatment.sample.1","HT.29.cells.control.sample.3","HT.29.cells.control.sample.2","HT.29.cells.control.sample.1"
"LOC124901071",2.89206194969665,3.11083333508431,3.0047157465976,2.83314063012851,0.936129103459874,4.33204153546807
"PCBD2",119.538560587462,116.137777843148,104.163479215383,133.15760961604,113.271621518645,129.961246064042
"CATSPER3",14.4603097484833,15.5541666754216,8.01257532426026,16.0544635707282,8.42516193113886,15.1621453741382
"PITX1",524.427233544993,577.578055880654,725.138066845554,526.964157203904,581.336173248582,910.811732832161
"PITX1-AS1",73.2655693923152,78.8077778221359,79.1241813270701,106.714963734841,76.7625864837096,64.980623032021
"EPIST",30.8486607967643,40.440833356096,47.073880030029,29.275786511328,27.1477440003363,60.6485814965529
"MACROH2A1",4138.54065001591,4543.89055811315,4668.32669829714,3999.45018953142,4282.79064832892,5119.39008453939
"CXCL14",99.2941269395851,115.10083339812,113.177626455176,72.7172761732985,121.696783449784,127.795225296308
"SLC25A48",7.71216519919108,4.14777778011242,4.00628766213013,2.83314063012851,5.61677462075924,3.24903115160105
"TGFBI",174.487737631698,211.536666785733,178.279800964791,109.548104364969,145.10001103628,127.795225296308
"SMAD5",1311.06808386248,1014.13166723749,896.406864401617,1683.82991450638,1316.19751946458,616.232908420332
"LOC124901076",11.5682477987866,12.4433333403372,17.0267225640531,8.49942189038554,7.48903282767899,8.66408307093613
"CTB-1I21.1",16.388351048281,16.5911111204497,20.0314383106507,33.9976875615422,22.467098483037,29.2412803644094
"SPOCK1",1633.05098092871,1501.49555640069,1172.8407130886,2317.50903544512,2096.92919175012,1216.22066108266
"KLHL3",72.3015487424163,74.6600000420235,44.0691642834314,124.658187725655,73.95419917333,35.7393426676115
"HNRNPA0",1939.60954759656,2021.00472335977,1888.96463269436,1906.70364407649,1964.93498816227,1872.52495370607
"NPY6R",1.92804129979777,0,0,3.77752084017135,3.74451641383949,0
"PKD2L2-DT",135.926911635743,134.802777853653,155.243646907543,173.765958647882,133.866461794762,144.040381054313
"LOC107986368",0,2.07388889005621,0,5.66628126025703,2.80838731037962,0
"MYOT",8.67618584908996,13.4802777853653,2.00314383106507,7.5550416803427,8.42516193113886,2.16602076773403
"PKD2L2",1.92804129979777,1.0369444450281,4.00628766213013,3.77752084017135,3.74451641383949,0
"FAM13B",782.784767717894,598.316944781216,558.877128867153,1031.26318936678,788.220705113214,446.200278153211
"FAM13B-AS1",6.74814454929219,5.18472222514052,7.01100340872773,7.5550416803427,7.48903282767899,4.33204153546807
"NME5",0,1.0369444450281,6.0094314931952,3.77752084017135,6.55290372421912,1.08301038386702
"BRD8",1051.74652903968,914.585000514787,969.521614235492,1023.70814768644,1008.21104442628,962.796231257778
"KIF20A",1489.41190409378,1738.95583431213,1568.46161972395,1620.55644043351,1716.86077574541,2131.36443545029
"CDC23",1531.82881268933,1526.38222308137,1339.101651067,1585.61437266193,1670.05432057241,1282.28429449855
"GFRA3",0,5.18472222514052,0,2.83314063012851,3.74451641383949,2.16602076773403
"CDC25C",658.426103880938,731.045833744813,749.175792818335,540.185480144503,669.33230897381,809.008756748661
"LOC100128966",8.67618584908996,3.11083333508431,5.00785957766267,7.5550416803427,3.74451641383949,4.33204153546807
"FAM53C",1257.08292746815,1364.61888965698,1383.17081535043,1200.30724696445,1399.51300967251,1569.28204622331
"KDM3B",1733.30912851819,1831.24388991963,1587.49148611906,1853.81835231409,1756.17819809072,1567.11602545557
"EGR1",1862.48789560464,2299.94277907233,1545.4254656667,1037.87385083708,983.871687736327,809.008756748661
"ETF1",3977.5492014828,3856.39639105952,3523.52999884345,4836.17105562937,4802.34230074915,3266.35931774292
"HSPA9",8671.36574584047,8280.00139354941,7321.49070254282,9834.77550738612,10238.4440045406,7190.10593849312
"SNORD63B",10.6042271488877,6.22166667016862,11.0172910708579,7.5550416803427,6.55290372421912,1.08301038386702
"SNORD63",2.89206194969665,2.07388889005621,4.00628766213013,4.72190105021419,0.936129103459874,1.08301038386702
"CTNNA1-AS1",6.74814454929219,11.4063888953091,13.0204349019229,10.3881823104712,13.1058074484382,15.1621453741382
"CTNNA1",10070.1597088437,10107.0975056889,9634.12025550743,9614.73491844613,10110.1943173666,10603.754668442
"SIL1",1286.00354696511,1345.95388964648,1497.35001372114,991.59922054498,1266.58267698121,1657.00588731654
"LOC124901079",22.1724749476743,17.6280555654778,14.0220068174555,28.3314063012851,10.2974201380586,0
"MATR3",4648.50757381242,3741.2955576614,3684.78307724419,5674.78068214741,4425.08227205482,2717.27305312234
"SNHG4",488.758469498734,438.627500246888,470.738800300291,520.353495733604,417.513580143104,448.366298920945
"PAIP2",2705.04194361627,2758.27222377476,2894.54283588902,2695.26111946226,2669.84020306756,2916.54696375387
"SLC23A1",14.4603097484833,8.29555556022483,10.0157191553253,16.9988437807711,3.74451641383949,7.58107268706911
"PROB1",9.64020649898885,16.5911111204497,5.00785957766267,22.6651250410281,8.42516193113886,23.8262284450744
