"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"29929",361,424,333,173
"23421",645,699,377,480
"84455",199,260,168,126
"79469",16,16,10,15
"5236",1650,2117,1537,1718
"4919",123,168,211,77
"57685",513,660,531,245
"55225",1046,1310,1238,838
"3716",3153,4191,2385,2142
"205",2552,3081,1856,2159
"9829",533,664,537,479
"102724416",33,30,24,34
"112268227",15,9,11,16
"3953",252,386,286,413
"54741",675,928,883,645
"5142",767,916,2946,1668
"105378776",2,11,9,10
"79819",62,77,119,99
"57708",1228,1442,1035,993
"23169",599,854,602,275
"3595",56,34,37,34
"26135",11554,15343,12874,9021
"1647",2922,3755,2303,3716
"55970",2779,3561,2799,2503
"100289178",23,41,44,26
"9077",62,85,41,27
"79971",1202,1609,1209,668
"6121",1659,2157,1469,420
"55635",2343,3188,2071,2001
"55631",699,911,498,425
"9295",5384,6715,5107,4709
"81573",811,957,737,597
"11147",258,258,239,180
"102724548",21,19,12,9
"1491",282,352,338,511
"100132618",164,199,229,210
"9406",1608,2169,2122,2095
"406962",18,10,13,12
"100852410",14,9,14,9
"127255",14,22,21,19
"100526835",44,55,49,51
"8790",204,247,254,128
"51086",8,14,10,31
"1429",708,878,864,602
"127253",700,826,816,531
"204962",151,196,240,156
"34",1287,1755,1428,764
"1744",92,107,44,52
"5876",2224,2682,2386,1995
"692085",65,80,77,77
"26805",47,48,41,65
"26804",47,47,50,62
"4438",46,65,51,42
"256435",73,67,59,28
"81849",40,48,48,37
"10026",666,881,457,498
"26009",1106,1316,1289,1098
"23032",2046,2683,1683,1471
"374986",832,1131,424,607
"374987",16,28,13,18
"91624",470,581,402,459
"8880",2357,3027,2269,1862
"11080",853,1099,769,721
"10561",26,25,18,26
"79739",1058,1319,697,735
"5567",1493,1846,2768,844
"107985046",7,10,21,6
"148418",66,94,139,94
"391051",8,6,15,10
"80135",1281,1719,1468,1005
"2787",1648,1968,1528,1023
"100505741",102,132,166,132
"1486",492,651,586,619
"117178",1648,2198,1263,1045
"23566",528,678,667,506
"255231",553,664,615,461
"55283",618,797,629,588
"126820",53,101,94,70
"84144",195,291,181,155
"148423",1092,1377,1070,1425
"8915",761,967,437,728
"646626",108,104,63,86
"23576",751,921,840,519
"3491",693,860,328,429
"107985057",11,11,12,6
"54680",630,762,679,460
"105378824",3,8,10,15
"105378825",11,16,11,14
"57489",643,866,664,519
"51100",1445,1772,1425,1058
"9403",2704,3397,2893,1835
"9653",1118,1463,854,975
"8543",718,899,681,421
"105378833",12,1,1,11
"5586",2647,3273,2103,1993
"2959",746,1022,689,503
"56267",469,562,462,632
"494115",405,499,401,324
"2635",32,51,28,18
"2634",29,49,37,21
"112268267",23,33,17,18
"23507",754,878,691,485
"84230",584,815,446,267
"101927952",4,11,5,10
"55144",292,390,489,136
"492303",20,49,47,33
"284695",1162,1326,1384,1233
"105378853",47,85,77,61
"105378855",15,24,6,13
"84146",1082,1337,1068,687
"164045",10,20,10,5
"8317",701,874,628,540
"7049",706,918,486,299
"253152",91,113,101,41
"646817",13,10,14,12
"284697",43,51,33,41
"23285",148,220,126,189
"11146",366,534,395,236
"79871",1001,1241,1079,843
"2672",318,431,318,274
"7813",918,1232,733,653
"6125",21110,27402,24167,22079
"388650",493,745,448,463
"6083",7,15,11,12
"26782",17,23,23,13
"22823",1360,1892,1222,1001
"50999",1350,1694,1142,1054
"343099",664,757,522,534
"100131564",353,443,531,551
"1810",2750,3592,2291,1795
"54874",1767,2242,1947,1859
"8412",1536,2077,786,1281
"100129046",93,128,56,90
"102723480",15,31,4,21
"723788",27,44,54,33
"30836",1451,1868,1537,1591
"2730",913,1108,1022,1463
"24",22,30,26,9
"105378858",13,12,25,3
"9411",13618,17142,15903,14548
"107985092",9,17,25,23
"105378859",33,28,41,7
"5825",1834,2424,1613,1297
"2152",1024,1292,904,878
"101928079",89,109,102,108
"126969",208,199,264,96
"1266",4514,5761,3347,2528
"105378862",11,10,10,11
"729970",18,24,13,21
"199857",138,175,159,134
"148534",815,1106,464,630
"100527978",193,216,150,114
"101928118",10,14,2,4
"25950",201,262,204,154
"58155",374,438,346,390
"1806",68,85,48,35
"51375",525,702,402,373
"9890",74,74,30,2
"391059",657,883,821,574
"178",1057,1433,1225,725
