"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"KIF15",33.8431488859756,-1.09630442051541,0.261530639758097,-4.19187756176269,2.76655299868689e-05,0.00013792670022439,"yes","KIF15"
"CCK",6.36490538755312,4.66859607112787,1.11388125945743,4.19128702587379,2.77376486971409e-05,0.000138234879242512,"yes","CCK"
"C9orf103",18.2716921762462,-1.53564617617734,0.366751250948151,-4.18716002251467,2.82466678513808e-05,0.000140614952094295,"yes","C9orf103"
"HDAC10",16.3502318996135,1.58403197964766,0.378811114147622,4.1815879220227,2.89480268528366e-05,0.000143839528984317,"yes","HDAC10"
"LOC100506268",16.5529351485451,1.55569536248587,0.372174364938226,4.18001751072802,2.9148664950937e-05,0.000144782854121352,"yes","LOC100506268"
"SREK1",21.4202765116897,-1.36984912155148,0.32778475942995,-4.17911169492377,2.92649937124651e-05,0.000145306867374697,"yes","SREK1"
"KCTD6",15.9140102654843,1.59629490185175,0.382127308560727,4.17739027305889,2.9487283351023e-05,0.00014635641636601,"yes","KCTD6"
"FEM1C",26.3634411981739,1.18828653676083,0.284500072508877,4.17675301901286,2.95699791522021e-05,0.000146712588870541,"yes","FEM1C"
"HOXC12",3.11268576106105,5.13909758142147,1.23181418851003,4.17197466091666,3.01971224693195e-05,0.000149713449759198,"yes","HOXC12"
"SLC2A4",3.11614145189863,5.14022912175834,1.23217887865496,4.17165819898601,3.0239100264162e-05,0.000149810845326439,"yes","SLC2A4"
"ASPHD2",3.11614145189863,5.14022912175834,1.23217887865496,4.17165819898601,3.0239100264162e-05,0.000149810845326439,"yes","ASPHD2"
"LOC100507639",12.2622178767874,1.86544510178791,0.447487926610138,4.16870487639575,3.06335331383343e-05,0.00015154110640999,"yes","LOC100507639"
"TPST2",29.1107007888858,1.13513656753707,0.272318183853932,4.16842001320756,3.06718356923015e-05,0.000151674658182056,"yes","TPST2"
"LOC100507002",6.07676241950595,3.98999304888057,0.957913920563896,4.16529394053673,3.10951668764602e-05,0.000153552055420673,"yes","LOC100507002"
"NETO2",28.5558574772563,-1.15462616334906,0.277346651632948,-4.16311556873287,3.13934370014804e-05,0.000154900460026429,"yes","NETO2"
"TIGD3",9.85065429342945,2.16104978823702,0.519429199353064,4.16043185660057,3.17646384285521e-05,0.000156559290652996,"yes","TIGD3"
"GBA2",31.3903731226905,1.08209062884374,0.260224192694642,4.1583014155548,3.206227878596e-05,0.000157910254108825,"yes","GBA2"
"HYAL3",24.839685798937,1.22753408830233,0.295224671193914,4.15796580732254,3.21094069573919e-05,0.000158084331647842,"yes","HYAL3"
"ETV2",28.7689307077535,-1.14126541481503,0.27550372640869,-4.14246816074656,3.4358807945038e-05,0.000168601963200669,"yes","ETV2"
"N6AMT2",28.6570917207681,-1.13410669043582,0.273925454624997,-4.14020190999922,3.47000259339572e-05,0.000170151881553352,"yes","N6AMT2"
"TTC25",7.3311723247094,2.72913869829855,0.659659310326678,4.13719423886706,3.51578479411428e-05,0.000172270886770771,"yes","TTC25"
"XLOC_004804",9.23512571237609,-2.29791023783529,0.556315709443115,-4.13058664141544,3.61838689525292e-05,0.000177104263359041,"yes","XLOC_004804"
"ZNF204P",6.06538134601832,3.54003673929959,0.857262552446607,4.1294662051858,3.63606441786914e-05,0.000177904596025282,"yes","ZNF204P"
"FERMT1",11.0907411906217,-2.00724564324614,0.486272493524462,-4.12782065606424,3.66217555086894e-05,0.000178986328562687,"yes","FERMT1"
"C10orf116",18.568318470027,1.42465171659882,0.345382340176815,4.12485396870461,3.70970056306478e-05,0.000181177075915825,"yes","C10orf116"
"ZMYM6NB",37.5004721062823,-1.00133775854503,0.242815898634404,-4.12385582730188,3.72582156335669e-05,0.000181898188114968,"yes","ZMYM6NB"
"KLHL35",25.5969477121539,-1.22336548753868,0.296729948948928,-4.12282444651127,3.74254926886307e-05,0.000182581967240243,"yes","KLHL35"
"P4HA2",29.1547854750768,1.13254318518499,0.27506340292301,4.11738956600487,3.8318804354235e-05,0.000186668510971829,"yes","P4HA2"
"SNORA17",18.3293869784123,1.44544890337281,0.351106981960983,4.11683326631606,3.84113746289902e-05,0.000187051543383859,"yes","SNORA17"
"FUNDC1",23.8085775141022,-1.25986821443598,0.306254637017011,-4.11379310598326,3.89210297620684e-05,0.000189327242671468,"yes","FUNDC1"
"PRO0628",33.1625035089174,1.09351801419167,0.266052136538247,4.1101643776293,3.95377562413484e-05,0.000192118267922466,"yes","PRO0628"
"PSCA",10.3253178721836,-2.10503171324719,0.5124591966877,-4.10770599269785,3.99608330018568e-05,0.000193963290721024,"yes","PSCA"
"UBIAD1",27.6603091064524,-1.1537976807988,0.280945168249202,-4.10684294016891,4.01103766340864e-05,0.00019461873885096,"yes","UBIAD1"
"TTK",27.5490485577238,-1.20665343954365,0.29395178584041,-4.10493658371156,4.04425809019445e-05,0.000196017942695263,"yes","TTK"
"IL10RA",2.99233887011194,5.08080595082461,1.23926161420881,4.09986551069637,4.13390299219541e-05,0.000200218204127414,"yes","IL10RA"
"COX19",28.2457640589604,1.12498859948156,0.274876246082367,4.0927094120183,4.2636189673234e-05,0.000206128692128327,"yes","COX19"
"CCDC157",21.9515100424641,1.29452029951332,0.316385114406405,4.09159672996018,4.28413178443633e-05,0.000207045792579243,"yes","CCDC157"
"ATP13A3",26.1162175148055,1.16712058626288,0.285289382367397,4.09100603947417,4.29505945022952e-05,0.000207499163069064,"yes","ATP13A3"
"FAM172A",20.3560712534324,-1.35550030630967,0.331614478787294,-4.08757877902888,4.35898677201716e-05,0.000210284669303783,"yes","FAM172A"
"C11orf52",15.2725707907176,-1.61006808760438,0.393918425169491,-4.08731347590967,4.36397282182837e-05,0.000210449530473218,"yes","C11orf52"
"TFCP2",28.9596752229383,-1.12942341680765,0.276527630586749,-4.08430584101554,4.42087728434117e-05,0.000213040551891958,"yes","TFCP2"
"CCDC153",11.372794556327,1.90075144733486,0.465576227071344,4.0825783981526,4.4538779750014e-05,0.000214476765659077,"yes","CCDC153"
"LOC100128851",21.9785330552477,-1.33448018653149,0.327024094221356,-4.08067848856483,4.49044319050478e-05,0.000216159977911059,"yes","LOC100128851"
"WIBG",10.9768441512222,-1.98821136002569,0.487292103646976,-4.08012226166929,4.50120196572317e-05,0.000216600163458185,"yes","WIBG"
"LOC100509213",32.9600684982973,1.03345697186518,0.253309775004812,4.07981481111633,4.5071592906166e-05,0.000216809067920087,"yes","LOC100509213"
"RDH12",5.93151616717127,3.50541485309431,0.859676665220137,4.07759683950091,4.55035796477689e-05,0.000218808610951422,"yes","RDH12"
"RASAL1",8.60397450788419,2.31216735659918,0.567482221326508,4.07443135609503,4.61269158604079e-05,0.000221726514934873,"yes","RASAL1"
"XLOC_l2_005020",19.0636615794994,1.38547731517015,0.340368058613607,4.07052683149382,4.69069378845851e-05,0.000225179698512954,"yes","XLOC_l2_005020"
"KIAA0240",12.0620275767718,-1.86342128559851,0.457786882188655,-4.07049952303043,4.69124371901987e-05,0.000225179698512954,"yes","KIAA0240"
"MAMSTR",15.305688908279,1.57532376866293,0.387502824866163,4.06532202496076,4.79661861056812e-05,0.000229970654722946,"yes","MAMSTR"
"POLR2H",23.7565849282071,-1.25140857501922,0.30782996156118,-4.06525917318971,4.79791148001068e-05,0.000229970654722946,"yes","POLR2H"
"C16orf53",19.9922084745947,-1.36604754177137,0.336096618379394,-4.06444893244759,4.81460785181509e-05,0.000230523836331018,"yes","C16orf53"
"PLEKHH2",11.0003429904028,1.93724575860252,0.476931414671182,4.06189590161123,4.86757831690649e-05,0.000232727835707831,"yes","PLEKHH2"
"LINC00338",15.904075069247,-1.5589939149295,0.384089868948154,-4.05893006029779,4.92980747943938e-05,0.000235619156195792,"yes","LINC00338"
"CD52",10.9703615014563,2.03339466905644,0.501858760929515,4.05172695459236,5.08409766217766e-05,0.000242734000839059,"yes","CD52"
"ATG4A",25.0888180025994,1.1825815391061,0.29192396569897,4.05099162130994,5.10010339536853e-05,0.000243411551591122,"yes","ATG4A"
"CCDC58",20.2322342578371,-1.3433856889494,0.332109042398045,-4.04501388835811,5.23200223470983e-05,0.000249263288284329,"yes","CCDC58"
"SCML1",21.0595108601031,1.33239352710499,0.329471108606283,4.04403752651099,5.25385043621162e-05,0.000250215326418939,"yes","SCML1"
"SLC22A5",28.6424615639557,1.09665118426913,0.271186118639573,4.04390604419786,5.25679923319726e-05,0.000250266921620207,"yes","SLC22A5"
"FJX1",23.1356719449472,-1.35448363387719,0.33538313145814,-4.03861585998176,5.37675343492805e-05,0.000255614897530102,"yes","FJX1"
"SCYL3",15.1504496160917,-1.59481245189745,0.395041450113304,-4.03707623956938,5.4121484560376e-05,0.000257206460099895,"yes","SCYL3"
"UNK",27.8760513155798,-1.13785553140873,0.281870084314811,-4.03680842603326,5.41832783736414e-05,0.000257408945701407,"yes","UNK"
"ECI2",21.431753410039,1.28383705567861,0.318209556298001,4.03456473970978,5.47036064389958e-05,0.000259421556728727,"yes","ECI2"
"ANGEL2",11.9652018560377,-1.84717645984502,0.45783381145304,-4.03460035855059,5.46953093022212e-05,0.000259421556728727,"yes","ANGEL2"
"G0S2",22.9871953566413,1.27089033095287,0.316081782285182,4.02076425210178,5.8009636187329e-05,0.000274227371067373,"yes","G0S2"
"CLU",37.8891482127946,1.01814958984638,0.253367738436649,4.01846579256163,5.85783112543407e-05,0.000276720642178956,"yes","CLU"
"MFNG",8.47712053352086,2.28608721575906,0.568938855623613,4.01815976033713,5.86544255123366e-05,0.000276982672535553,"yes","MFNG"
"JSRP1",2.85542229868825,5.014313532871,1.24845543058396,4.01641373014459,5.90904809915867e-05,0.000278943663963099,"yes","JSRP1"
"FBXO2",4.02326795474506,4.74154505740683,1.18244865567073,4.00993737416636,6.07348542637952e-05,0.000286102108428047,"yes","FBXO2"
"HMGA2",9.75372291100846,-2.1218198356374,0.5292252287454,-4.00929456947368,6.09004078621279e-05,0.000286680656799406,"yes","HMGA2"
"KDELC1",14.6439704735567,1.61779547756021,0.404101748888984,4.00343597128221,6.24291029224511e-05,0.000293670702947968,"yes","KDELC1"
"SNRNP35",26.0490643411992,-1.15763242065723,0.289334370292079,-4.00101937246037,6.30701935278187e-05,0.000296323128105844,"yes","SNRNP35"
"SNUPN",23.0902543989053,-1.23424326145454,0.308672056911034,-3.99855845004549,6.37294440173192e-05,0.000299158229858766,"yes","SNUPN"
