"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"NDRG3",19.0567479043854,19.2935725992062,26.1102426059437,20.5773297003815,17.1347428924215,17.2521405134139,19.7437253641211,18.6206537136223
"LOC401588",15.0448009771464,17.3642153392856,16.2063574795513,13.7182198002543,19.2765857539741,18.2669723083206,16.782166559503,15.3346559994537
"LOC100133315",2.00597346361952,1.92935725992062,1.80070638661681,1.95974568575062,1.07092143077634,1.0148317949067,0.987186268206057,1.09533257138955
"LENG8",5.01493365904879,4.82339314980155,4.50176596654202,5.87923705725186,7.49645001543439,6.08899076944021,5.92311760923634,6.5719954283373
"XLOC_000707",14.0418142453366,13.5055008194443,14.4056510929344,12.738346957379,4.28368572310537,5.07415897453351,4.93593134103028,5.47666285694775
"DNAJB4",4.01194692723903,3.85871451984124,4.50176596654202,3.91949137150124,5.35460715388171,5.07415897453351,5.92311760923634,5.47666285694775
"ATXN3",26.0776550270537,27.975680268849,23.4091830260185,22.5370753861321,13.9219786000924,15.2224769236005,14.8077940230909,14.2393234280641
"CSRNP1",4.01194692723903,3.85871451984124,4.50176596654202,3.91949137150124,19.2765857539741,19.2818041032273,21.7180979005333,19.7159862850119
"C6orf203",44.1314161996294,43.4105383482139,45.9180128587286,39.1949137150124,49.2623858157117,51.7564215402418,61.2055486287755,49.2899657125297
"CREG1",203.606306557381,207.405905441467,219.68617916725,192.055077203561,191.694936108965,215.144340520221,215.20660646892,217.97118170652
"CALM2",426.269361019147,416.741168142854,404.258583795473,342.955495006359,396.240929387246,413.036540527028,350.45112521315,352.697087987435
"SDHD",44.1314161996294,42.4458597182536,57.6226043717378,42.1345322436383,28.9148786309612,29.4301220522944,30.6027743143878,33.955309713076
"HN1L",250.74668295244,247.9224078998,229.590064293643,218.511643961194,163.85097890878,160.343423595259,154.001057840145,140.202569137862
"KRTAP5-10",4.01194692723903,3.85871451984124,4.50176596654202,4.89936421437655,4.28368572310537,5.07415897453351,3.94874507282423,4.3813302855582
"METTL6",16.0477877089561,15.434858079365,18.0070638661681,15.677965486005,8.56737144621073,8.11865435925362,9.87186268206057,9.85799314250594
"NUDT13",3.00896019542928,2.89403588988093,2.70105957992521,2.93961852862593,1.07092143077634,1.0148317949067,0.987186268206057,1.09533257138955
"MITF",1.00298673180976,0,0.900353193308403,0.97987284287531,6.42552858465805,7.10382256434692,7.89749014564846,7.66732799972684
"CCDC58",29.086615222483,27.975680268849,30.6120085724857,28.416312443384,10.7092143077634,11.1631497439737,11.8462352184727,12.048658285285
"LYPD3",0,0,0,0,13.9219786000924,14.2076451286938,11.8462352184727,12.048658285285
"JARID2",19.0567479043854,21.2229298591268,19.8077702527849,20.5773297003815,44.9787000926064,42.6229353860815,50.3464996785089,43.813302855582
"SGMS1",17.0507744407659,16.3995367093253,18.9074170594765,15.677965486005,25.7021143386322,28.4152902573877,28.6284017779757,29.5739794275178
"WAC",217.648120802718,212.229298591268,230.490417486951,216.551898275444,175.63111464732,178.61039590358,214.219420200714,207.017855992625
"KCTD1",18.0537611725757,16.3995367093253,18.9074170594765,16.6578383288803,10.7092143077634,11.1631497439737,9.87186268206057,9.85799314250594
"NUP54",72.2150446903026,77.1742903968248,84.6332001709899,73.4904632156483,57.8297572619225,61.9047394893088,57.2568035559513,60.2432914264252
"ATP5H",962.867262537368,850.846551624993,955.274738100216,924.020090831417,985.247716314234,982.357177469688,975.340032987584,972.65532339392
"XLOC_l2_000416",15.0448009771464,15.434858079365,10.8042383197008,12.738346957379,18.2056643231978,16.2373087185072,16.782166559503,19.7159862850119
"SMARCA2",8.02389385447807,8.68210766964279,9.00353193308403,7.83898274300248,6.42552858465805,7.10382256434692,7.89749014564846,7.66732799972684
"IGHMBP2",14.0418142453366,12.540822189484,13.505297899626,13.7182198002543,9.63829287698707,10.148317949067,10.8590489502666,10.9533257138955
"ZNF223",9.02688058628783,10.6114649295634,10.8042383197008,9.7987284287531,6.42552858465805,6.08899076944021,7.89749014564846,7.66732799972684
"CDIPT",67.2001110312538,60.7747536874995,58.5229575650462,64.6716076297705,112.446750231516,123.809478978618,106.616116966254,100.770596567839
"CLEC16A",25.074668295244,27.0110016388887,27.9109489925605,27.4364396005087,97.4538502006471,97.4238523110434,103.654558161636,98.5799314250594
"SH3GLB1",93.2777660583076,89.7151125863088,94.5370852973823,87.2086830159026,73.8935787235676,74.0827210281893,81.9364602611027,71.1966171403207
"KCNMB4",18.0537611725757,19.2935725992062,18.0070638661681,16.6578383288803,62.1134429850278,62.9195712842155,57.2568035559513,52.5759634266984
"PHTF1",15.0448009771464,16.3995367093253,17.1067106728597,17.6377111717556,9.63829287698707,10.148317949067,8.88467641385451,8.76266057111639
"UBA52",2117.3049908504,1867.61782760316,2103.22505956843,2184.13656676907,2267.14066895352,2147.38407802258,2536.08152302136,2245.43177134858
"SLC35F2",13.0388275135269,14.4701794494046,14.4056510929344,15.677965486005,8.56737144621073,8.11865435925362,10.8590489502666,8.76266057111639
"UTP15",26.0776550270537,26.0463230089284,27.9109489925605,23.5169482290074,20.3475071847505,23.3411312828541,24.6796567051514,23.0019839991805
"C9orf78",92.2747793264978,87.7857553263882,95.4374384906907,92.1080472302792,128.510571693161,117.720488209177,131.295773671406,118.295917710071
"STBD1",8.02389385447807,7.71742903968248,7.20282554646722,6.85910990012717,9.63829287698707,10.148317949067,10.8590489502666,12.048658285285
"TROVE2",68.2030977630636,72.3508972470232,71.1279022713638,64.6716076297705,100.666614492976,102.498011285577,112.53923457549,101.865929139228
"NSL1",7.02090712266831,7.71742903968248,9.00353193308403,6.85910990012717,4.28368572310537,4.05932717962681,3.94874507282423,4.3813302855582
"XLOC_l2_012083",34.1015488815318,44.3752169781742,43.2169532788033,41.154659400763,12.8510571693161,12.1779815388804,11.8462352184727,17.5253211422328
"UBE2J2",155.462943430513,151.454544903769,161.163221602204,164.618637603052,204.545993278281,198.907031801714,215.20660646892,202.636525707067
"KIAA0317",23.0686948316245,23.1522871190474,25.2098894126353,20.5773297003815,25.7021143386322,30.4449538472011,28.6284017779757,28.4786468561283
"ELP4",49.1463498586782,48.2339314980155,55.821897985121,52.9131335152667,53.5460715388171,51.7564215402418,69.103038774424,66.8152868547625
"DCAF8",12.0358407817171,11.5761435595237,10.8042383197008,11.7584741145037,6.42552858465805,6.08899076944021,5.92311760923634,6.5719954283373
"IRF6",14.0418142453366,14.4701794494046,14.4056510929344,14.6980926431297,37.482250077172,39.5784400013614,42.4490095328605,37.2413074272447
"PHLPP2",33.098562149722,35.6931093085314,35.1137745390277,34.2955495006359,36.4113286463956,37.548776411548,41.4618232646544,42.7179702841924
"PIK3R1",85.2538722038295,87.7857553263882,88.2346129442235,82.309318801526,72.8226572927912,79.1568800027228,85.885205333927,74.4826148544894
"MLF1",9.02688058628783,7.71742903968248,8.10317873977563,6.85910990012717,17.1347428924215,16.2373087185072,18.7565390959151,17.5253211422328
"KIAA1984",1.00298673180976,0.96467862996031,0.900353193308403,1.95974568575062,3.21276429232902,3.04449538472011,2.96155880461817,3.28599771416865
"XLOC_l2_009468",4.01194692723903,3.85871451984124,3.60141277323361,3.91949137150124,5.35460715388171,5.07415897453351,3.94874507282423,4.3813302855582
"FAM54A",35.1045356133416,33.7637520486108,29.7116553791773,25.4766939147581,28.9148786309612,28.4152902573877,23.6924704369454,25.1926491419596
"NADK",74.2210181539222,70.4215399871026,70.2275490780554,70.5508446870223,67.4680501389095,69.0085620536558,61.2055486287755,61.3386239978148
"LOC100507239",9.02688058628783,8.68210766964279,9.00353193308403,9.7987284287531,6.42552858465805,7.10382256434692,5.92311760923634,6.5719954283373
"KRR1",6.01792039085855,5.78807177976186,7.20282554646722,6.85910990012717,7.49645001543439,7.10382256434692,6.9103038774424,6.5719954283373
"ERCC4",1.00298673180976,1.92935725992062,0.900353193308403,0.97987284287531,2.14184286155268,2.0296635898134,1.97437253641211,1.09533257138955
"FBXL15",204.609293289191,216.088013111109,230.490417486951,222.431135332695,199.1913861244,198.907031801714,183.616645886327,176.348543993717
"SULT1A4",30.0896019542928,29.9050375287696,29.7116553791773,28.416312443384,57.8297572619225,52.7712533351485,50.3464996785089,54.7666285694775
"ATP5S",29.086615222483,30.8697161587299,29.7116553791773,30.3760581291346,20.3475071847505,18.2669723083206,19.7437253641211,18.6206537136223
"RAD54L2",23.0686948316245,24.1169657490077,25.2098894126353,24.4968210718828,26.7730357694085,25.3707948726676,24.6796567051514,26.2879817133492
"ANGPT1",8.02389385447807,7.71742903968248,9.00353193308403,6.85910990012717,3.21276429232902,4.05932717962681,4.93593134103028,4.3813302855582
"CHTF18",327.976661301791,345.354949525791,285.411962278764,297.881344234094,740.006708666452,719.515742588852,589.350202119016,659.390207976509
"REL",10.0298673180976,11.5761435595237,12.6049447063176,11.7584741145037,14.9929000308688,14.2076451286938,14.8077940230909,15.3346559994537
"ZKSCAN2",12.0358407817171,12.540822189484,10.8042383197008,11.7584741145037,13.9219786000924,14.2076451286938,14.8077940230909,13.1439908566746
"PYCR1",14.0418142453366,12.540822189484,14.4056510929344,15.677965486005,14.9929000308688,15.2224769236005,15.7949802912969,15.3346559994537
"BCORL1",15.0448009771464,17.3642153392856,15.3060042862429,14.6980926431297,86.7446358928837,88.2903661568831,74.0389701154543,74.4826148544894
"ZBED3",91.2717925946881,98.3972202559516,140.455098156111,130.323088102416,79.2481858774493,80.1717117976295,91.8083229431633,85.4359405683849
"RNF208",4.01194692723903,3.85871451984124,2.70105957992521,3.91949137150124,10.7092143077634,11.1631497439737,7.89749014564846,7.66732799972684
"C9orf114",37.1105090769611,33.7637520486108,31.5123617657941,34.2955495006359,29.9858000617376,29.4301220522944,25.6668429733575,26.2879817133492
"CDK16",854.544695501914,851.811230254953,803.115048431095,754.502089013989,704.666301450833,740.827210281893,692.017574012446,656.10421026234
"C17orf53",4.01194692723903,2.89403588988093,2.70105957992521,2.93961852862593,3.21276429232902,3.04449538472011,2.96155880461817,3.28599771416865
"MCAT",46.1373896632489,43.4105383482139,44.1173064721117,48.0137693008902,64.2552858465805,60.8899076944021,67.1286662380119,63.5292891405939
