"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYC1","CYC1",565.983073157584,0.136475428330699,0.0717461843781343,1.90219771983152,0.0571453108243056,0.121039073258428
"SIGMAR1","SIGMAR1",755.014457008693,0.136566800262986,0.106963995620644,1.2767548507381,0.201688809867828,0.332839006754372
"ID2","ID2",236.083389439455,0.136633641253453,0.118845434784105,1.14967513478042,0.250277699331451,0.392951902983332
"NECAP2","NECAP2",148.660826002931,0.136708680955033,0.12492115644308,1.09435971333906,0.273797245593745,0.42037810103979
"MTRNR2L6","MTRNR2L6",6493.77398387466,0.136809584142694,0.0418781130157712,3.26685168673124,0.0010875063774331,0.00391887874285321
"FAM129B","FAM129B",1189.71942578998,0.137080000835089,0.0716180701468284,1.91404209236654,0.0556147776424464,0.118282792779179
"RPS15A","RPS15A",2824.34877715826,0.137165300219311,0.0744887953031379,1.84142191669372,0.0655597534939668,0.135586504219988
"NARS","NARS",166.012930464837,0.137230156591452,0.117873712269482,1.16421341068581,0.244337536815851,0.386346369628525
"NUP188","NUP188",30.5292683729003,0.137281925273933,0.254927561255137,0.53851346868116,0.590222609144578,0.729355956207217
"VPS45","VPS45",16.3849798533344,0.137471348619596,0.344206357135398,0.399386431336361,0.689608490247765,0.806677784040808
"CMTM4","CMTM4",362.930806840968,0.137658598271356,0.0878268015066434,1.56738712909798,0.117024230594159,0.215925880573681
"POLG","POLG",190.98922804907,0.137685148676637,0.106188886938152,1.29660600696219,0.194766784560871,0.323430026199858
"C19orf63","C19orf63",815.544638589713,0.137695616717827,0.0844128239972089,1.63121680092566,0.102844581445114,0.195433839188053
"YIPF2","YIPF2",80.1313053536871,0.137754271374698,0.159877708506383,0.861622753175738,0.388895146015981,0.543707511353731
"MTF2","MTF2",50.4094748557847,0.137783017939235,0.199182385523381,0.69174298508972,0.48909874737637,0.640922176053494
"HELZ","HELZ",79.1388422582601,0.138464213579297,0.159868962082714,0.866110668233757,0.386429475391619,0.541501759124082
"SLC25A4","SLC25A4",80.359107971302,0.138544456024168,0.159057874071488,0.87103173503941,0.383736825574694,0.538290804256598
"AP3B1","AP3B1",105.323118721247,0.138659271466096,0.140838323297484,0.984527990816923,0.324855975782859,0.476521733118614
"PDRG1","PDRG1",280.124939375159,0.138733742692899,0.0998534349364807,1.38937376346793,0.164719124120675,0.283342263227134
"ASNA1","ASNA1",73.7209822903624,0.138936868778072,0.168804722679603,0.823062687895165,0.410472345651189,0.566494906826083
"CCDC6","CCDC6",565.54735336605,0.139040343397666,0.0768152481932149,1.81006176075791,0.0702862101054378,0.143612518241632
"SETD8","SETD8",15.3913657804589,0.139285077737718,0.354592303552446,0.392803443115671,0.69446466142827,0.811014789147081
"ATP5B","ATP5B",913.55542609503,0.13964284527225,0.061820680307275,2.25883708458344,0.0238935207734931,0.0585489451501706
"ZNF416","ZNF416",15.6129226066124,0.139755351267145,0.35453210129247,0.394196606619421,0.693435890817683,0.810165976766527
"DCUN1D5","DCUN1D5",319.103741493807,0.139773312535307,0.0871809380452272,1.60325543254417,0.108878271652554,0.204051781633768
"RAP1A","RAP1A",154.415237185583,0.139899721642854,0.121382886079681,1.15254898084247,0.249095554433757,0.391640215432238
"RARRES2","RARRES2",14.3880310751327,0.139986419029635,0.365906328851572,0.382574467812553,0.702035304311288,0.816732350757004
"RSPH1","RSPH1",62.4723026538859,0.14038295165117,0.183115926608085,0.766634307848195,0.443298971462197,0.598012225585957
"NOSTRIN","NOSTRIN",35.6727230511396,0.140485469541645,0.25431435724406,0.552408723848901,0.580668354963553,0.721720089882437
"MECR","MECR",53.3175134201309,0.140524497713639,0.194860583499264,0.721154043522453,0.470814743329319,0.623108473562804
"VPS37C","VPS37C",222.671055072302,0.140692747669655,0.100641995707938,1.3979526804888,0.162127277421241,0.279899569409775
"LINC00152","LINC00152",69.3779525663711,0.141132592430079,0.174670757305734,0.80799210243904,0.419095128533502,0.574670916231138
"LOC100294145","LOC100294145",12.880200637435,0.141248882635346,0.387380730730138,0.364625474192066,0.715390996510271,0.827957695754123
"ANXA2","ANXA2",3345.94478320318,0.141331344551125,0.0664868091412451,2.12570502896115,0.033527827942392,0.0779700710131966
"PPP6R3","PPP6R3",473.942715221771,0.141498406508646,0.0758515879340228,1.86546399835062,0.0621163939904176,0.129583819277786
"CANX","CANX",122.642252990962,0.141631490021005,0.137286092829086,1.0316521295229,0.302235110355863,0.452304865245454
"LOC644285","LOC644285",743.809064187425,0.141799865562542,0.0943885173223597,1.50229995750713,0.133019659632047,0.23996124157907
"MITD1","MITD1",112.441881027254,0.14195487254775,0.13700269955016,1.03614653589929,0.300133784750135,0.449597460496629
